node_id,depth,root_distance_px,distance_zone,rel_motion_rms_px_raw,rel_motion_rms_per_root_distance_raw,rel_motion_rms_px_smoothed,rel_motion_rms_per_root_distance_smoothed
0,11,214.87331997579648,mid,,,3.4320341341102485,0.015972360526178103
0,11,214.89943625157667,mid,3.9989099894029105,0.018608285154929398,,
1,10,198.0050669173972,mid,,,3.4025910215433943,0.01718436338279601
1,10,198.02855289173164,mid,3.947916758325037,0.019936098611413305,,
2,9,178.862339885508,mid,,,2.80211032031524,0.015666295778691622
2,9,178.88361325103236,mid,3.0250747461245746,0.01691085444410944,,
3,8,147.74248672692784,mid,,,2.4666627032372626,0.016695689627834617
3,8,147.76024182075815,mid,2.586320048936697,0.017503490905720464,,
4,7,126.5384953583168,mid,,,2.3126313812040293,0.018276109374110956
4,7,126.5574309427797,mid,2.4586753050503036,0.019427348411978608,,
5,6,112.63478821959147,proximal,,,1.925270645056804,0.017093037377611246
5,6,112.65708398475448,proximal,1.924195244592319,0.017080108738237128,,
6,5,86.90769627504677,proximal,,,1.8783508364336108,0.021613170259271147
6,5,86.92828345941624,proximal,2.084899086860998,0.023984128109861554,,
7,4,71.10362218497373,proximal,,,2.15147916042741,0.030258362293138993
7,4,71.10953637911372,proximal,2.3372466977129513,0.032868259543307146,,
8,3,57.567527024324534,proximal,3.8159812842255545,0.06628704551809483,,
8,3,57.57245249156948,proximal,,,2.7710374631668984,0.04813130834703751
9,2,36.75268916104776,proximal,2.145146431717655,0.058367060497744004,,
9,2,36.75608639411282,proximal,,,1.6950530465970477,0.04611625482707926
10,1,18.163411181277645,proximal,1.409011684682863,0.07757417759364686,,
10,1,18.163713828948516,proximal,,,0.6919897045978489,0.03809736880433486
11,0,0.0,proximal,0.0,,0.0,
12,12,226.22659111726824,mid,,,3.133611659881896,0.013851650437757502
12,12,226.26614624725272,mid,3.482260056890063,0.015390106362110474,,
13,13,242.83530769397348,distal,,,3.330509330780259,0.013715095067548587
13,13,242.87757469158285,distal,3.535417146091579,0.014556375369694032,,
14,14,264.5669634496593,distal,,,3.980217413709977,0.015044272201685213
14,14,264.60321718091114,distal,4.189183742830201,0.015831945610721827,,
15,15,285.06152809344434,distal,,,4.699621633059909,0.016486341262856606
15,15,285.0878732949695,distal,4.742704310397131,0.016635938440952333,,
16,16,305.38012637795015,distal,,,5.5680652983333685,0.01823322743485317
16,16,305.40603408379826,distal,6.017223653140067,0.01970237317409728,,
17,17,334.5495654187351,distal,,,5.6750109999582,0.01696313965571929
17,17,334.579554159662,distal,5.663325824645349,0.016926694277148803,,
18,18,348.7064733802514,distal,,,6.047834739811083,0.017343626234366305
18,18,348.7395475275835,distal,6.115396062088642,0.017535711408253593,,
19,19,362.1766119671544,distal,,,6.544854188681483,0.018070891306683913
19,19,362.21024882511523,distal,6.848954915434829,0.018908782779202053,,
