frame,excitation_proxy_deg
0,0.0
1,0.03310624474022672
2,0.06864705527294755
3,0.10663446578343408
4,0.1389446509702887
5,0.16075804441237793
6,0.18409286100644276
7,0.20293279581386472
8,0.2165969156412178
9,0.22352982268196253
10,0.22527189168697326
11,0.22485511246232093
12,0.2471956534813289
13,0.27518842763925067
14,0.3016794986543881
15,0.32539981490245284
16,0.34525316943049067
17,0.36267523422246317
18,0.3777405254905281
19,0.3895171064286626
20,0.3952852626849812
21,0.3939664062637998
22,0.3862086391420676
23,0.37727146879023793
24,0.375523539905337
25,0.37398326193275705
26,0.3706624250785008
27,0.3652935152123249
28,0.3570864598666855
29,0.3459148820092538
30,0.33454129413116906
31,0.3369230416065091
32,0.34826722869110915
33,0.35862711745433173
34,0.3671779173500706
35,0.3666270908927151
36,0.3698531612379603
37,0.37824293279799476
38,0.39003603769574374
39,0.4029379915844439
40,0.41715590085916665
41,0.4346556615710829
42,0.452047575167734
43,0.46525138440596475
44,0.4686095757676691
45,0.4588421394396373
46,0.4358580565375599
47,0.4046000242663623
48,0.36854298302454647
49,0.3316318438409062
50,0.2979181081881647
51,0.2766212036599741
52,0.2657905186252006
53,0.2715321905080501
54,0.2766020186102144
55,0.27940134565185454
56,0.28285738962759116
57,0.2774208998561426
58,0.2747851979498643
59,0.2743513197569932
60,0.2794606242019834
61,0.2841172903026167
62,0.28720776147636673
63,0.29112285115546677
64,0.2968594753598561
65,0.3041062203628761
66,0.3071077854823284
67,0.3075903633858992
68,0.304546974433502
69,0.30116535341655515
70,0.30079007082908044
71,0.2995224169036132
72,0.30055030788238873
73,0.31555412270571237
74,0.3273974240987803
75,0.3419246057984854
76,0.3511263480522765
77,0.35723261789950944
78,0.3604813546656253
79,0.35916765161836856
80,0.3512042532960689
81,0.3350967269411722
82,0.3128554807985991
83,0.2890547392370573
84,0.2764051439933438
85,0.2738324504420522
86,0.2748102704013035
87,0.2808183347284327
88,0.29116927608865095
89,0.3096658230044983
90,0.32178916661219087
91,0.3291238998001504
92,0.3351122347782614
93,0.3391568567593924
94,0.33540720568889604
95,0.32636688198882013
96,0.32195690941027916
97,0.31598936424212115
98,0.3205493873893471
99,0.321784394887795
100,0.3188913328469294
101,0.31161564893775157
102,0.300054513685995
103,0.28496027165312954
104,0.26753241123422417
105,0.25263302697570206
106,0.2431857700307728
107,0.23638817705768858
108,0.2358221608708633
109,0.23502801591202704
110,0.23163039381780418
111,0.22835836998324902
112,0.23134213786431165
113,0.23547948999526605
114,0.24331143924148707
115,0.2541264808673913
116,0.26572596575826407
117,0.2720893238838426
118,0.27205990194991947
119,0.26490150349002756
120,0.2751098494990838
121,0.29689354193274875
122,0.32340430588764824
123,0.3400208573785477
124,0.3490609353731575
125,0.352253565624996
126,0.35069536160418313
127,0.34568658010449077
128,0.3350568366479896
129,0.3190027657392658
130,0.29753392726559175
131,0.27702515728109084
132,0.26421076676263106
133,0.27350952717204446
134,0.29124185120051976
135,0.3076829666042799
136,0.3202110509772965
137,0.3272543164433568
138,0.33517420631416156
139,0.33531438044885326
140,0.3291288502753758
141,0.3144200498744847
142,0.29427617997112215
143,0.27480270647284194
144,0.26461858852504033
145,0.2609942951486204
146,0.2593655251181157
147,0.25651366792562685
148,0.2542769077850798
149,0.25506796903534085
150,0.2610965678663903
151,0.2696413481791786
152,0.27868155053976496
153,0.28484294578389047
154,0.2867353738801264
155,0.28477831230825934
156,0.28114807781801415
157,0.27722525362416195
158,0.2731723769785
159,0.26886213486088195
160,0.2648959043238116
161,0.26089976631713196
162,0.26296061488832173
163,0.2672126664655186
164,0.2723091425748576
165,0.27510472015185705
166,0.27529805624642945
167,0.2726270367186745
168,0.2684130975778521
169,0.26744459855513664
170,0.263140640339679
171,0.256186778345648
172,0.24727821616353124
173,0.23912964189078365
174,0.24564405579776055
175,0.25657534969594625
176,0.2664546795448196
177,0.2722985554657994
178,0.2712815085625471
179,0.2628915107935382
180,0.2619136389087759
181,0.2535467013174463
182,0.23743859991766064
183,0.22071137100711635
184,0.22811030411746805
185,0.24272641773304152
186,0.25767807743394894
187,0.2719871281740509
188,0.2814534518647345
189,0.28736129691812146
190,0.291072792063413
191,0.291516665869239
192,0.2878121241836954
193,0.281693191344724
194,0.2749171089250509
195,0.27404895109986976
196,0.27066061135315156
197,0.2741759921105344
198,0.2789531916817898
199,0.2819495552485402
200,0.2822917820811565
201,0.2816116599737928
202,0.28130304683192525
203,0.28343250291564204
204,0.28995302028305703
205,0.3087119217858008
206,0.32777340486622775
207,0.3393023367889335
208,0.3427796222022829
209,0.3391337201974193
210,0.3339068594535097
211,0.329178753020541
212,0.32147262282927064
213,0.30808436937240513
214,0.29310802835347227
215,0.27288241701101174
216,0.2586230818925562
217,0.23925644380298228
218,0.22583742279764493
219,0.2144076640357896
220,0.20577124053075938
221,0.20423945226063772
222,0.20323114428155406
223,0.2040941825195081
224,0.2050949152383535
225,0.20321767617895306
226,0.1991101177109356
227,0.19772743130019182
228,0.19477387996343035
229,0.1933657021278158
230,0.19809048070420945
231,0.21094837636017472
232,0.22891075807641315
233,0.24717391182424162
234,0.2681562662244565
235,0.2798147277422133
236,0.28497267621333844
237,0.29024213853366554
238,0.29104803928745326
239,0.29549830843520364
240,0.30087479022376845
241,0.3075197544401396
242,0.31089001846516123
243,0.3083402043513506
244,0.29895018030034093
245,0.28923566058027156
246,0.280520422227752
247,0.27290967428416407
248,0.26597110761048715
249,0.26110029879165825
250,0.26031576181332144
251,0.2543354387871069
252,0.26857762192469503
253,0.2974971053687772
254,0.33093979575216825
255,0.35757689335384635
256,0.3765384347138409
257,0.388239556740975
258,0.39347887082445276
259,0.39139139347022395
260,0.41964238212625643
261,0.47940169861672516
262,0.5443687898381222
263,0.6661959026985443
264,0.7145663637606844
265,0.7008965853529169
266,0.7249764869984542
267,0.905790123920495
268,0.9630552893760657
269,1.0291288604199738
270,1.142029473170668
271,0.8838946481397029
272,1.0679925916131399
273,1.1499479985392134
274,1.2619093195367401
275,1.2321941521627755
276,1.525701917275025
277,1.0257184137616375
278,1.072110333017617
279,1.5168172346807276
280,1.4408282611505618
281,1.5108373023151087
282,1.3419249862504647
283,1.3500533765158396
284,1.4439425631268643
285,1.5099868731769468
286,1.3428795577431962
287,1.3454267071070736
288,1.2352841344437377
289,1.2097392893758616
290,1.1226826957931995
291,1.108354411476141
292,1.184393379934252
293,1.1798874539641195
294,1.1352296137338578
295,1.0571319298770268
296,1.0337771930960442
297,1.0155438090437028
298,1.0055066773187684
299,1.0194549799348123
300,1.0528421479933343
301,1.089012569840543
302,1.1200304166856994
303,1.1295449205944301
304,1.1233875510378561
305,1.107715754712061
306,1.0849148056197275
307,1.036423183168897
308,1.0106810862855842
309,1.0042100228708262
310,1.0076543032493586
311,1.0091129368779077
312,1.0048026799518923
313,0.9974288134510003
314,0.9919166328843629
315,0.9931651509687698
316,1.0119035467451754
317,1.0463383335504843
318,1.067649063239221
319,1.0617788192468771
320,1.028779622277158
321,0.9787309361616495
322,0.9232934298661334
323,0.878663804705991
324,0.8690389916463203
325,0.8840641899888378
326,0.906976502043045
327,0.9243448902097174
328,0.9321331122586807
329,0.9323074019764898
330,0.9279710753398347
331,0.9186877057345886
332,0.9101208638338599
333,0.9196864213755795
334,0.9363411157669332
335,0.9615889366688501
336,0.9942457938907092
