parent,child,depth,root_distance_px,distance_zone,n_frames,rest_length_px,length_mean_px,length_std_px,length_cv,length_cv_ci_low,length_cv_ci_high,length_range_px,motion_gain_proxy,child_rel_motion_rms_px,parent_rel_motion_rms_px
11,10,1,18.163713828948516,proximal,1029,18.163713828948516,17.79227779632991,0.4454940007514699,0.025038615395459027,0.020802188014680298,0.029552555209026905,3.4608340775126347,inf,0.6919897045978489,0.0
10,9,2,36.75608639411282,proximal,1038,18.592372565164304,19.515628999126868,0.783184524727108,0.04013114436445516,0.0339034953192867,0.04325400440473994,4.328558879411965,2.4495350658173893,1.6950530465970477,0.6919897045978489
9,8,3,57.57245249156948,proximal,1084,20.816366097456662,21.83050796740893,0.720561009051277,0.033007065622431345,0.028223490612346133,0.03738152700223804,4.1411567279391726,1.634779199819129,2.7710374631668984,1.6950530465970477
8,7,4,71.10362218497373,proximal,1082,13.531169693404248,12.70734282685764,0.7392774933548328,0.05817718963183482,0.047713950209874095,0.06750166604760736,4.198583557319589,0.7764164826442217,2.15147916042741,2.7710374631668984
7,6,5,86.90769627504677,proximal,1099,15.804074090073042,15.322826073985132,0.47069959169326153,0.030718849735716074,0.02500960383191785,0.03672893118754278,3.162297668592146,0.8730509088735305,1.8783508364336108,2.15147916042741
6,5,6,112.63478821959147,proximal,1102,25.727091944544693,25.826992122589793,0.5885513478722202,0.022788226560747617,0.019398206256545956,0.025367177689945498,3.2288029342730624,1.0249792571830079,1.925270645056804,1.8783508364336108
5,4,7,126.5384953583168,mid,1104,13.903707138725323,14.340211828212162,0.3549643054331394,0.024753072666249022,0.021643716392817168,0.0269440203187114,1.5209248547734617,1.201198069030859,2.3126313812040293,1.925270645056804
4,3,8,147.74248672692784,mid,1104,21.203991368611057,21.27472926179999,0.4230938344391932,0.01988715481324045,0.016556025128950547,0.02265821456466207,2.5770053312052283,1.0666043552315023,2.4666627032372626,2.3126313812040293
3,2,9,178.862339885508,mid,1104,31.11985315858016,30.03755623453889,0.9058150427810491,0.030156083128343558,0.02589593865620566,0.033360236425387095,4.806934739574228,1.1359924957059326,2.80211032031524,2.4666627032372626
2,1,10,198.0050669173972,mid,1087,19.142727031889194,18.61553931915521,0.8784246254329726,0.04718770755833446,0.0377562423754121,0.054475785221111184,7.043134554215047,1.2142958815271054,3.4025910215433943,2.80211032031524
1,0,11,214.87331997579648,mid,1043,16.86825305839929,17.27332513765569,0.9596394560928677,0.055556150795822316,0.045204569311348045,0.06589279368524094,6.132452149250698,1.0086531447301295,3.4320341341102485,3.4025910215433943
0,12,12,226.22659111726824,mid,996,11.353271141471756,11.929695217553043,0.9865664068797746,0.08269837484432682,0.06737669441705633,0.0990401333095486,6.954447426035628,0.9130479294298399,3.133611659881896,3.4320341341102485
12,13,13,242.83530769397348,distal,1013,16.608716576705245,17.198161383059073,1.2461763938777082,0.07245986161667523,0.05782020189054163,0.08325131259813807,7.8973319199606244,1.0628341007978583,3.330509330780259,3.133611659881896
13,14,14,264.5669634496593,distal,1006,21.731655755685825,22.177907902365234,1.02291630236032,0.0461232099467429,0.03511419069554287,0.05550807546741517,11.212836220826176,1.195077694851408,3.980217413709977,3.330509330780259
14,15,15,285.06152809344434,distal,1004,20.49456464378507,21.07922970359775,0.6962427728085968,0.03302980149648276,0.027170165859794308,0.03929327251063634,6.124834251059198,1.1807449555071847,4.699621633059909,3.980217413709977
15,16,16,305.38012637795015,distal,1058,20.318598284505807,20.891490180941513,0.7448706356991938,0.035654260622284856,0.03169736426963648,0.03943635393871133,4.72804934396267,1.184790124201556,5.5680652983333685,4.699621633059909
16,17,17,334.5495654187351,distal,1052,29.169439040784923,28.62521955820046,0.7430849771855021,0.025959101402686903,0.022651562890254242,0.02897025553143236,5.272037772135825,1.019206976911144,5.6750109999582,5.5680652983333685
17,18,18,348.7064733802514,distal,1074,14.156907961516335,14.128076621667452,0.568555287152062,0.040242936273441506,0.03280653506143709,0.04582146679665348,3.637938479557363,1.0656956858507638,6.047834739811083,5.6750109999582
18,19,19,362.1766119671544,distal,1094,13.470138586903003,13.703288834894176,0.44797229331856037,0.03269085974294286,0.027477016584030386,0.03833017260627003,3.1458368090683795,1.0821813872655397,6.544854188681483,6.047834739811083
