distance_zone,n_nodes,n_edges,n_bends,node_rel_motion_rms_mean,node_rel_motion_rms_std,edge_length_cv_mean,filtered_angle_rms_mean,motion_per_root_distance_mean,filtered_angle_per_length_mean,relative_compliance_kappa_mean,relative_stiffness_inv_kappa_mean,compliance_fit_r2_mean
proximal,7,6,5,1.5875972651828028,0.9355193894848027,0.034976848551774,1.7184218528200685,0.032642426620827635,0.09173109515858266,1.2423316859687503,0.853018624439995,0.1438858579889676
mid,6,6,6,2.9249402033820115,0.4751559483915866,0.0433730906343861,1.2622939245163205,0.016274411521228136,0.08426515768423963,0.9209963603100023,1.5567286454617542,0.05373006545155027
distal,7,7,7,5.120873372047754,1.1603146352192015,0.04088000444303671,1.6580569296486385,0.01655094188053044,0.09353492118450345,1.2676211393367953,1.0141831628256988,0.3784664154717289
