node_id,depth,root_distance_px,distance_zone,n_frames,motion_rms_px,motion_mean_px,rel_motion_rms_px,rel_motion_mean_px,motion_max_px,rel_motion_max_px,rel_motion_rms_per_root_distance,rel_motion_rms_ci_low,rel_motion_rms_ci_high,track_support_ratio
11,0,0.0,proximal,1068,1.9885036087858343,1.7698794529875201,0.0,0.0,5.375490158793161,0.0,,0.0,0.0,1.0
10,1,18.163713828948516,proximal,1029,2.2017620116498446,1.838606892378378,0.6919897045978489,0.6290257056359199,5.712303542135446,2.4905469691675335,0.03809736880433486,0.622167566545251,0.7594119342019261,0.9634831460674157
9,2,36.75608639411282,proximal,1067,1.6218283641948612,1.302829807230308,1.6950530465970477,1.4865990417499486,4.765257974212469,3.8180704893445814,0.04611625482707926,1.4587901125948521,1.860996762544677,0.9990636704119851
8,3,57.57245249156948,proximal,1049,1.772763639053488,1.5345318969446438,2.7710374631668984,2.4669616575992532,4.125153273746145,5.62509220840411,0.04813130834703751,2.452743437547391,3.05935981484371,0.9822097378277154
7,4,71.10362218497373,proximal,1065,1.6391353874421135,1.394858846732291,2.15147916042741,1.8411132605894944,3.498245187852932,4.817902966397555,0.030258362293138993,1.8669529337213693,2.3906388102308322,0.9971910112359551
6,5,86.90769627504677,proximal,1067,1.7275804508976025,1.444894934555717,1.8783508364336108,1.6430930007869644,4.088026919962264,4.5418784598296025,0.021613170259271147,1.6753948831336583,2.0754364206104197,0.9990636704119851
5,6,112.63478821959147,proximal,1068,1.1339430854933803,0.9158000369847348,1.925270645056804,1.6968603441676342,3.034203204264156,4.547421715114736,0.017093037377611246,1.7091630509251596,2.1857758800995377,1.0
4,7,126.5384953583168,mid,1068,1.118904871655491,0.9103289306849308,2.3126313812040293,2.013189811952561,3.9785576087396146,5.513377850869876,0.018276109374110956,2.0572402369896867,2.585888290326572,1.0
3,8,147.74248672692784,mid,1068,1.3631764779411486,1.1277809225944795,2.4666627032372626,2.1080552920187445,4.738341349145999,5.917101373247638,0.016695689627834617,2.1998942688619456,2.7980674110501793,1.0
2,9,178.862339885508,mid,1068,2.1031718931436116,1.6831008341846603,2.80211032031524,2.3559549728366624,5.8899749011876485,6.937269349404229,0.015666295778691622,2.4436192005759523,3.1484723111023847,1.0
1,10,198.0050669173972,mid,1051,2.96910340431743,2.3550129189770215,3.4025910215433943,2.8586860580308433,8.775106584448347,9.28232620237814,0.01718436338279601,2.9652287559481874,3.8363255622237133,0.9840823970037453
0,11,214.87331997579648,mid,1011,3.2260741328479594,2.478467786575315,3.4320341341102485,2.9101267469940675,9.50998909798102,10.140974268273217,0.015972360526178103,2.9278425921104283,3.9162180600085548,0.9466292134831461
12,12,226.22659111726824,mid,987,3.4148182744324145,2.5910885159411206,3.133611659881896,2.687378709452301,8.888972864146208,7.586127892658467,0.013851650437757502,2.6566787696005365,3.6218629901080464,0.9241573033707865
13,13,242.83530769397348,distal,1045,3.98568514392717,2.938526742113395,3.330509330780259,2.576193135860612,11.029546483335851,9.734783138002584,0.013715095067548587,2.665544151362267,4.007848844673117,0.9784644194756554
14,14,264.5669634496593,distal,971,4.665494126483625,3.2856804917225393,3.980217413709977,2.9360647545626644,13.441669257437493,11.582450363995598,0.015044272201685213,3.0597013477531805,4.858707076611641,0.9091760299625468
15,15,285.06152809344434,distal,1042,5.3902474676386385,3.7557956896104256,4.699621633059909,3.431689032242921,16.203203331013853,14.00021300384261,0.016486341262856606,3.8957725707795934,5.650138359185235,0.9756554307116105
16,16,305.38012637795015,distal,1034,6.343003803381792,4.4125023552410525,5.5680652983333685,4.037815239449426,18.817536026646103,16.60632137908259,0.01823322743485317,4.41433700378544,6.894817908019986,0.9681647940074907
17,17,334.5495654187351,distal,1042,6.492370765979217,4.312968619994707,5.6750109999582,3.960737419039093,20.405478873070983,17.82372459754671,0.01696313965571929,4.490280134450766,7.026027177270039,0.9756554307116105
18,18,348.7064733802514,distal,1060,6.981429917195786,4.638451122635378,6.047834739811083,4.04790169305679,22.01541534495746,19.453515298022296,0.017343626234366305,4.551312017504183,7.356174361044769,0.9925093632958801
19,19,362.1766119671544,distal,1065,7.595378223448997,5.210520898940419,6.544854188681483,4.3144070453697,22.904903993584515,20.398407702890008,0.018070891306683913,5.019640071298042,8.117823671128743,0.9971910112359551
