node_id,depth,root_distance_px,distance_zone,n_frames,motion_rms_px,motion_mean_px,rel_motion_rms_px,rel_motion_mean_px,motion_max_px,rel_motion_max_px,rel_motion_rms_per_root_distance,rel_motion_rms_ci_low,rel_motion_rms_ci_high,track_support_ratio
24,0,0.0,proximal,590,1.0698113689662005,0.9184844771994877,0.0,0.0,2.693338459942571,0.0,,0.0,0.0,1.0
23,1,13.820121924908689,proximal,590,0.8588169109706806,0.7909792409132328,1.0285110943686377,0.9927773871410565,2.5609667594185384,1.7829400255948062,0.0744212750044485,0.9630716558574329,1.1326164416007893,1.0
22,2,33.33235535194282,proximal,590,1.0624291188864707,0.7755404449970277,0.9042668440200523,0.8241162110509205,5.010529976320084,2.6205426583487563,0.027128801264485074,0.8046785310967155,1.063735324523153,1.0
21,3,55.94022572582599,proximal,590,1.0982703587376936,0.8672871932354355,0.6348346322357018,0.5381050855025542,4.099170449375497,1.7337766416617901,0.011348446024282253,0.5272146752632341,0.7627283621034866,1.0
20,4,75.56583630904696,proximal,590,0.49684371638394054,0.3864979418833633,0.8533707673937095,0.7313096575103049,2.0418595051296364,2.375056306483562,0.011293076462538158,0.7245382337412636,1.0299211937204489,1.0
19,5,114.78967088223561,proximal,590,0.43412947338730984,0.3772254891156041,0.7769254671082445,0.6611672082552769,1.4199082536170984,1.9927180271237601,0.006768252414499068,0.6436115942842682,0.9327238056939124,1.0
18,6,129.13207338982392,proximal,590,0.4183262929216408,0.36272918995449766,0.9856352302582086,0.8694500062273619,1.3885951393663558,2.213220578744782,0.007632768563103396,0.8779760915332305,1.1494268796813962,1.0
17,7,137.24939882027596,proximal,590,0.7333749543646454,0.6344287209834287,0.7176529038244668,0.632256055096407,2.0879393383828844,1.7610784714517194,0.00522882365965196,0.6248965862883845,0.830993974172586,1.0
16,8,152.8533650991397,mid,590,1.0634337027135683,0.7841572283517828,0.8147890446473298,0.7241733760830019,3.4122600269689496,1.764848989186052,0.005330527359465478,0.7431173341601724,0.9145368168568175,1.0
15,9,171.38313124545132,mid,428,1.3850652360379136,0.9327347358032559,0.904135401736982,0.7068727053377071,4.90155087072704,2.9892440687190884,0.0052755215473458605,0.6267861006328792,1.1944142986078397,0.7254237288135593
14,10,185.42056978037976,mid,590,3.083003415285798,2.234701678084302,2.30036479634255,1.7040465418762845,8.26667390934127,6.479331697584574,0.012406200666232462,1.645527709210715,2.905179336341433,1.0
13,11,208.4475050400764,mid,590,4.202436801598421,2.928177531646238,3.443602759200283,2.5442635421305564,11.16116508530153,9.392296232913164,0.016520239753112953,2.486404255298079,4.372347108677915,1.0
12,12,221.5003262140597,mid,590,5.580895001566091,3.8625844180196554,4.812078961215167,3.5003524427489947,15.0998949068593,13.336378359473514,0.02172492945479789,3.688666604669126,6.208645778109901,1.0
11,13,238.95665370876443,mid,590,6.551262800354359,4.5591239633127545,5.751298258847903,4.1299016667188235,17.495186950205692,15.70234213149104,0.024068374617672167,4.255332126675792,7.134107197741382,1.0
10,14,256.9435401213235,mid,570,6.679865793476538,4.7404857660558966,5.905815561911829,4.205352307321818,18.783760220809526,16.98445507637937,0.02298487659632627,4.41844647020602,7.367785290172652,0.9661016949152542
9,15,274.8492702350357,mid,543,9.612471940825312,6.428075505551349,8.865768307121483,5.942952508872567,29.44188777350114,27.619838595673457,0.03225683771887033,6.793513746421153,11.354457930737981,0.9203389830508475
8,16,293.0080371492583,distal,573,13.08561603962237,9.035178477376334,12.279127203601925,8.387889896281289,33.51855975644038,31.48532385469073,0.04190713443586169,9.210869508784766,15.447453865548487,0.9711864406779661
7,17,311.37413028504676,distal,590,14.253197059050434,9.759607572796861,13.402611696846142,9.133874597300794,35.42947165205977,33.67492382687907,0.04304343358446879,9.66501659642197,16.219782051105703,1.0
6,18,322.54925695852404,distal,590,15.422400148524126,10.699167403360946,14.56294371684829,9.988425074330799,38.13005639141824,36.31103160774596,0.04514951872520019,11.348492671720887,18.250327661534843,1.0
5,19,332.9746439565361,distal,590,16.144648439411625,11.159493250925077,15.286726703264394,10.43453766198203,39.709536295082785,37.93357027245435,0.045909581947806824,11.26730875198425,19.99573981813325,1.0
4,20,347.9955882460096,distal,590,17.842147866850773,12.173943322203817,16.987258874424715,11.50493364387117,43.85023318311147,42.12185774601096,0.04881458112743618,12.792024567692685,21.537645954367953,1.0
3,21,366.9957681116624,distal,590,20.26564400132121,13.770747775984393,19.407006477272702,13.072084765849914,49.48437665861195,47.77889163300279,0.05288073641047521,13.967710491519668,24.940494008704082,1.0
2,22,386.8608634968414,distal,590,21.92156381321816,14.971314345860717,21.055611602583443,14.244489706979387,53.51544788178383,51.75197061352389,0.05442683297623192,15.010991355820082,27.136292160930985,1.0
1,23,408.3361907180144,distal,583,22.496959927106005,15.377973580393219,21.621360145072487,14.609289431610344,55.609379403408035,53.85027768299699,0.05294989921675494,15.446704193230811,27.966577500291876,0.988135593220339
0,24,424.6417206690755,distal,590,24.17466644864598,16.446409689981028,23.30802707992004,15.766013417137343,59.149533503796036,57.172988564156206,0.05488868838227993,17.13994532089564,29.230660548054082,1.0
