parent,child,depth,root_distance_px,distance_zone,length_cv_raw,length_std_px_raw,length_cv_smoothed,length_std_px_smoothed
1,0,24,424.63577067580366,distal,0.10143406140135416,1.6119273331971975,,
1,0,24,424.6417206690755,distal,,,0.06654250729588822,1.054348009442975
2,1,23,408.3361907180144,distal,,,0.05160147796120103,1.0790390694067065
2,1,23,408.3413054902933,distal,0.08417492549078116,1.7621936532600644,,
3,2,22,386.8569336307055,distal,0.09932944750321691,1.9026844613522726,,
3,2,22,386.8608634968414,distal,,,0.04901674590170587,0.9599946937907506
4,3,21,366.97832824393544,distal,0.14341771301503384,2.9490649105397617,,
4,3,21,366.9957681116624,distal,,,0.07324491021773731,1.43781335510108
5,4,20,347.9577297797627,distal,0.14089206774861995,1.9706947844107192,,
5,4,20,347.9955882460096,distal,,,0.07913138370800574,1.1318086966249588
6,5,19,332.94664327557336,distal,0.18276532176069832,1.6268230195750286,,
6,5,19,332.9746439565361,distal,,,0.09896331300592738,0.9560715656455159
7,6,18,322.52675828262954,distal,0.12468659423073745,1.634310747235187,,
7,6,18,322.54925695852404,distal,,,0.08076089969059908,0.965212746352124
8,7,17,311.37413028504676,distal,,,0.05677744509658403,1.0294126763253793
8,7,17,311.3847737964567,distal,0.10388753556469475,1.7993767640054055,,
9,8,16,293.0080371492583,distal,,,0.053439369393434126,1.0069524311423041
9,8,16,293.0139580190236,distal,0.08448338130074168,1.6060937868960012,,
10,9,15,274.840270822828,mid,0.19846789481856106,3.9975109070104793,,
10,9,15,274.8492702350357,mid,,,0.11397429372675795,2.2075716207689005
11,10,14,256.92798269055453,mid,0.10057221189431656,1.8090463944127488,,
11,10,14,256.9435401213235,mid,,,0.05164945241291118,0.9454537668171795
12,11,13,238.93789599834685,mid,0.054327442192112003,0.9400207424728176,,
12,11,13,238.95665370876443,mid,,,0.030491440576101342,0.5323580274849348
13,12,12,221.482246194385,mid,0.062126350009531185,0.842466352944895,,
13,12,12,221.5003262140597,mid,,,0.038302781052084255,0.5138762570073889
14,13,11,208.4233540858443,mid,0.0351082977754004,0.8310621372279913,,
14,13,11,208.4475050400764,mid,,,0.020429482633995993,0.473506960494212
15,14,10,185.3806419053412,mid,0.06422746637214982,0.8590924741221914,,
15,14,10,185.42056978037976,mid,,,0.04463678890265074,0.6070458291932628
16,15,9,171.3619887958768,mid,0.03876663456225912,0.6904040541033912,,
16,15,9,171.38313124545132,mid,,,0.026311747017742717,0.47535097882438054
17,16,8,152.84969461541718,mid,0.02555196055117178,0.4102014114056838,,
17,16,8,152.8533650991397,mid,,,0.013231796037792795,0.20692467239383003
18,17,7,137.24939882027596,proximal,,,0.016867078034183188,0.13495416235718963
18,17,7,137.27488508705756,proximal,0.026705120025615262,0.20716737537425164,,
19,18,6,129.13207338982392,proximal,,,0.009838871039266957,0.1431666434123782
19,18,6,129.1551219264141,proximal,0.0193326903178657,0.2895064818974208,,
20,19,5,114.78967088223561,proximal,,,0.005299867186324153,0.20737383404862866
20,19,5,114.81087294479951,proximal,0.009399447949788146,0.3633518544073562,,
21,20,4,75.56478006415094,proximal,0.033001149615583925,0.6911801502624269,,
21,20,4,75.56583630904696,proximal,,,0.0192529622646871,0.39008189352116684
22,21,3,55.94022572582599,proximal,,,0.013080443514370705,0.29148586073299165
22,21,3,55.94534929198389,proximal,0.026821653130533654,0.5846812099372966,,
23,22,2,33.31796011777988,proximal,0.047447513866686546,0.8981691740495336,,
23,22,2,33.33235535194282,proximal,,,0.022614470942084235,0.4355864819086646
24,23,1,13.81510430618743,proximal,0.032539728369610554,0.4879305393028613,,
24,23,1,13.820121924908689,proximal,,,0.016175994453306045,0.23227334413836925
