distance_zone,n_nodes,n_edges,n_bends,node_rel_motion_rms_mean,node_rel_motion_rms_std,edge_length_cv_mean,filtered_angle_rms_mean,motion_per_root_distance_mean,filtered_angle_per_length_mean,relative_compliance_kappa_mean,relative_stiffness_inv_kappa_mean,compliance_fit_r2_mean
proximal,8,7,6,0.7376496174011277,0.32599086049421055,0.014732812490603197,1.7269862397403983,0.011566694731426653,0.11902380828702679,0.8796405853521403,1.8292597248325215,-0.5395603286889822
mid,8,8,8,4.099731636377941,2.774451424977206,0.04237847279500462,1.9500284013069211,0.017570938464227928,0.11817416773346098,1.097709316017869,0.9819339724626134,-0.1250134090241361
distal,9,9,9,17.54563038887046,3.9498889511139708,0.06771978358567585,2.5137539599860075,0.048885600756279526,0.15568483496787533,1.334231942860842,0.8688148888000177,0.3023639924856347
