grandparent,joint,child,depth,root_distance_px,distance_zone,n_frames,rest_angle_deg,angle_mean_deg,angle_std_deg,angle_range_deg,angle_rms_delta_deg,angle_mean_abs_delta_deg,n_inlier_frames,filtered_angle_std_deg,filtered_angle_rms_delta_deg,filtered_angle_mean_abs_delta_deg,filtered_angle_rms_ci_low,filtered_angle_rms_ci_high
13,12,11,13,238.95665370876443,mid,590,175.47990456661407,176.24945935677346,2.3651896368463166,7.601259865002817,2.4872347282278175,2.101633063662763,590,2.3651896368463166,2.4872347282278175,2.101633063662763,2.13794728349704,2.9290340099619403
12,11,10,14,256.9435401213235,mid,570,149.2618486319137,149.95059834591353,1.9029342922860382,12.216828754316026,2.023742841690379,1.484780940522266,561,1.739010134882531,1.8357113210010119,1.3967471906924596,1.4808369941173332,2.2678414225893775
11,10,9,15,274.8492702350357,mid,539,162.56264707480278,160.9525484261714,4.602755788290718,25.988459398627015,4.876246354007186,3.3943469467952894,427,2.3618281653595186,2.368882909841378,1.8344721166920674,1.5884073448979121,3.0705433129607074
10,9,8,16,293.0080371492583,distal,532,172.72728772298512,174.63357193905537,1.7876053245718488,10.440925783001205,2.6133220828815062,2.074581564082468,531,1.7743455764808207,2.5969556716815685,2.0648939487353792,2.0053567657367384,3.240786736528924
9,8,7,17,311.37413028504676,distal,536,173.58708714904438,169.54097001428127,3.322441791307266,21.31522663164668,5.2354258016754045,4.13108708048822,535,3.2597237192401765,5.173736529111788,4.102808564514306,4.097640128879255,6.42616635946706
8,7,6,18,322.54925695852404,distal,573,171.91385830663089,172.57388822007354,1.9834178001672895,12.785268365471893,2.090355390037681,1.5251535064598951,568,1.9052516474320316,2.0272177173292114,1.4875999609199781,1.6282351221666806,2.5062716236930216
7,6,5,19,332.9746439565361,distal,590,163.70133202131169,164.21676028528768,2.6843044442716377,17.136264200600294,2.7333416626616165,2.0123447529473126,548,2.0066172052871254,2.0938736493857784,1.6444648936867767,1.612513277472443,2.5553966622491613
6,5,4,20,347.9955882460096,distal,590,162.76209325582326,162.72732943427093,1.9649096704518367,9.64237851196063,1.9652171728142587,1.616468667302068,587,1.9086129624490575,1.9098792564442457,1.5901349322152338,1.596430498198485,2.231115557659683
5,4,3,21,366.9957681116624,distal,590,168.13358714330158,166.32597433342363,1.9223488043242891,10.836169176961107,2.63872867038691,2.1314037843295246,588,1.8951544160311555,2.632730831517526,2.124940568808937,2.0751310878806675,3.2029626159126305
4,3,2,22,386.8608634968414,distal,590,177.4307271946619,176.08062075153333,2.810357460138852,12.898166978365879,3.117835220394977,2.2281878495058294,582,2.6574419583608875,2.9312915792006615,2.127273947978911,2.148872664999069,3.649449462937082
3,2,1,23,408.3361907180144,distal,583,137.32613136864876,135.05678530386683,3.99723713897653,22.329362168055084,4.596502616876706,2.820701287288201,430,1.2225127559533853,1.279193247355711,0.8242538887527726,0.8788120204328308,1.7601194821435826
2,1,0,24,424.6417206690755,distal,583,149.6461489458242,151.41838662896166,4.05053907132432,25.76374945996281,4.421277323789747,2.7402678248191066,484,1.9657083335062546,1.9789071578475779,1.3942123070002586,1.3136571128504086,2.739876347161045
