grandparent,joint,child,depth,root_distance_px,distance_zone,n_frames,rest_angle_deg,angle_mean_deg,angle_std_deg,angle_range_deg,angle_rms_delta_deg,angle_mean_abs_delta_deg,n_inlier_frames,filtered_angle_std_deg,filtered_angle_rms_delta_deg,filtered_angle_mean_abs_delta_deg,filtered_angle_rms_ci_low,filtered_angle_rms_ci_high
24,23,22,2,33.33235535194282,proximal,590,169.96767703029008,173.72229549451973,1.0731063632914255,6.7508515887876115,3.904960573279935,3.754618464229649,584,1.0208104187801934,3.9050596997099736,3.7692754406130566,3.6748928455033907,4.254221154511676
23,22,21,3,55.94022572582599,proximal,590,173.3849381333555,172.91143385940015,0.5519278650487102,2.7836250138861374,0.7272074433552,0.578532977901336,590,0.5519278650487102,0.7272074433552,0.578532977901336,0.5824496181606499,0.8839403704734746
22,21,20,4,75.56583630904696,proximal,590,151.81022545453555,153.10782956973932,0.5470082759042371,3.2835639371770355,1.4081883729464204,1.3046394459285555,590,0.5470082759042371,1.4081883729464204,1.3046394459285555,1.2718932586242102,1.5358504002716267
21,20,19,5,114.78967088223561,proximal,590,152.9827348768269,153.3708702525691,0.5727390021684317,3.1646206355675304,0.6918663415049411,0.5141226513358808,577,0.5087402280843861,0.6158918600395313,0.4759657873415247,0.4564689920631478,0.7507863672745931
20,19,18,6,129.13207338982392,proximal,590,176.1144245434089,175.2081896146048,0.7267442728081299,3.722123832901758,1.1616449475825095,1.0287760721318893,590,0.7267442728081299,1.1616449475825095,1.0287760721318893,0.9529892977184895,1.314351432634072
19,18,17,7,137.24939882027596,proximal,590,108.22858223546825,106.47630123100271,1.9256663993096852,8.114915213719641,2.603589791046421,1.8508087014091852,586,1.8787920754314567,2.5439251148087547,1.8143373570579033,1.8342831063357294,3.1633146813841457
18,17,16,8,152.8533650991397,mid,590,175.2573462905676,173.02062622807662,0.7885180433273754,4.575950822298012,2.371640221998783,2.2367200624909693,590,0.7885180433273754,2.371640221998783,2.2367200624909693,2.141655622507024,2.5724746289870204
17,16,15,9,171.38313124545132,mid,428,173.42365114913204,174.44971276432977,0.926478146764983,5.8046814095034165,1.3824486227760098,1.2388925202121222,417,0.841369168496955,1.3782591599537173,1.2330527246662668,1.183438273601207,1.580629444541435
16,15,14,10,185.42056978037976,mid,428,177.09663910517568,176.70996418491126,1.416167409553378,7.755537448626853,1.4680080469270687,1.0098049642966076,404,1.1118223213286609,1.1240441355799782,0.8254544897708396,0.832389490054419,1.4726861131198505
15,14,13,11,208.4475050400764,mid,428,173.62785556705265,173.88761641936688,1.6492940949744181,10.194225150562147,1.669624721939782,1.341502067930067,406,1.3351477007810009,1.4156552704865775,1.1905023148435994,1.2063740259317903,1.6373661985606331
14,13,12,12,221.5003262140597,mid,590,149.9349149634743,147.8629979233344,1.7252430560447176,8.82035205825494,2.6961646506941377,2.1061007168729446,585,1.6593068565212385,2.6187994633661047,2.060509256586416,2.0597071429596023,3.181183130518169
