grandparent,joint,child,depth,root_distance_px,distance_zone,filtered_angle_rms_delta_deg_raw,filtered_angle_std_deg_raw,filtered_angle_rms_delta_deg_smoothed,filtered_angle_std_deg_smoothed
2,1,0,24,424.63577067580366,distal,4.603987148740638,4.540078598701148,,
2,1,0,24,424.6417206690755,distal,,,1.9789071578475779,1.9657083335062546
3,2,1,23,408.3361907180144,distal,,,1.279193247355711,1.2225127559533853
3,2,1,23,408.3413054902933,distal,3.8659285223278688,3.8369184602621753,,
4,3,2,22,386.8569336307055,distal,4.487872374774765,3.874801489522334,,
4,3,2,22,386.8608634968414,distal,,,2.9312915792006615,2.6574419583608875
5,4,3,21,366.97832824393544,distal,6.048759172708089,4.447056796676915,,
5,4,3,21,366.9957681116624,distal,,,2.632730831517526,1.8951544160311555
6,5,4,20,347.9577297797627,distal,5.850592958568392,5.802808294211466,,
6,5,4,20,347.9955882460096,distal,,,1.9098792564442457,1.9086129624490575
7,6,5,19,332.94664327557336,distal,4.700925775947414,4.6934208067029255,,
7,6,5,19,332.9746439565361,distal,,,2.0938736493857784,2.0066172052871254
8,7,6,18,322.52675828262954,distal,3.6826609401159747,3.466666432125729,,
8,7,6,18,322.54925695852404,distal,,,2.0272177173292114,1.9052516474320316
9,8,7,17,311.37413028504676,distal,,,5.173736529111788,3.2597237192401765
9,8,7,17,311.3847737964567,distal,10.809497167978021,6.627813207193945,,
10,9,8,16,293.0080371492583,distal,,,2.5969556716815685,1.7743455764808207
10,9,8,16,293.0139580190236,distal,4.269311841922227,2.6460785082962976,,
11,10,9,15,274.840270822828,mid,6.0778657782902314,6.076897012052238,,
11,10,9,15,274.8492702350357,mid,,,2.368882909841378,2.3618281653595186
12,11,10,14,256.92798269055453,mid,4.776400395843026,4.476979251997254,,
12,11,10,14,256.9435401213235,mid,,,1.8357113210010119,1.739010134882531
13,12,11,13,238.93789599834685,mid,2.600581318230513,2.5898516025299902,,
13,12,11,13,238.95665370876443,mid,,,2.4872347282278175,2.3651896368463166
14,13,12,12,221.482246194385,mid,3.537673508938977,2.104885227590931,,
14,13,12,12,221.5003262140597,mid,,,2.6187994633661047,1.6593068565212385
15,14,13,11,208.4233540858443,mid,3.0947484958434464,2.8150794763975115,,
15,14,13,11,208.4475050400764,mid,,,1.4156552704865775,1.3351477007810009
16,15,14,10,185.3806419053412,mid,2.865140669339603,2.6264915241672155,,
16,15,14,10,185.42056978037976,mid,,,1.1240441355799782,1.1118223213286609
17,16,15,9,171.3619887958768,mid,3.5388881852415874,1.9866907783509102,,
17,16,15,9,171.38313124545132,mid,,,1.3782591599537173,0.841369168496955
18,17,16,8,152.84969461541718,mid,6.36369621332809,1.8610394439098623,,
18,17,16,8,152.8533650991397,mid,,,2.371640221998783,0.7885180433273754
19,18,17,7,137.24939882027596,proximal,,,2.5439251148087547,1.8787920754314567
19,18,17,7,137.27488508705756,proximal,4.4697567793951185,2.417727590500861,,
20,19,18,6,129.13207338982392,proximal,,,1.1616449475825095,0.7267442728081299
20,19,18,6,129.1551219264141,proximal,2.322830360001631,1.5338059320428,,
21,20,19,5,114.78967088223561,proximal,,,0.6158918600395313,0.5087402280843861
21,20,19,5,114.81087294479951,proximal,1.7622012606744883,1.0620902016106095,,
22,21,20,4,75.56478006415094,proximal,2.992444766000581,1.181006538211515,,
22,21,20,4,75.56583630904696,proximal,,,1.4081883729464204,0.5470082759042371
23,22,21,3,55.94022572582599,proximal,,,0.7272074433552,0.5519278650487102
23,22,21,3,55.94534929198389,proximal,1.3724658625732271,1.3710123816831894,,
24,23,22,2,33.31796011777988,proximal,7.638389209477964,1.716060887366743,,
24,23,22,2,33.33235535194282,proximal,,,3.9050596997099736,1.0208104187801934
