node_id,depth,root_distance_px,distance_zone,rel_motion_rms_px_raw,rel_motion_rms_per_root_distance_raw,rel_motion_rms_px_smoothed,rel_motion_rms_per_root_distance_smoothed
0,24,424.63577067580366,distal,23.716753883777223,0.05585199251121083,,
0,24,424.6417206690755,distal,,,23.30802707992004,0.05488868838227993
1,23,408.3361907180144,distal,,,21.621360145072487,0.05294989921675494
1,23,408.3413054902933,distal,21.351025166870713,0.052287204061403116,,
2,22,386.8569336307055,distal,21.20659761386769,0.05481767488265198,,
2,22,386.8608634968414,distal,,,21.055611602583443,0.05442683297623192
3,21,366.97832824393544,distal,19.62791873277024,0.05348522575350362,,
3,21,366.9957681116624,distal,,,19.407006477272702,0.05288073641047521
4,20,347.9577297797627,distal,16.51299981930812,0.047456913314614116,,
4,20,347.9955882460096,distal,,,16.987258874424715,0.04881458112743618
5,19,332.94664327557336,distal,14.679075581284204,0.04408837234960385,,
5,19,332.9746439565361,distal,,,15.286726703264394,0.045909581947806824
6,18,322.52675828262954,distal,14.621421111451834,0.04533397845594911,,
6,18,322.54925695852404,distal,,,14.56294371684829,0.04514951872520019
7,17,311.37413028504676,distal,,,13.402611696846142,0.04304343358446879
7,17,311.3847737964567,distal,13.149586143720823,0.042229380657887686,,
8,16,293.0080371492583,distal,,,12.279127203601925,0.04190713443586169
8,16,293.0139580190236,distal,13.040248703520659,0.044503848184167506,,
9,15,274.840270822828,mid,9.330633747040586,0.03394929614610753,,
9,15,274.8492702350357,mid,,,8.865768307121483,0.03225683771887033
10,14,256.92798269055453,mid,4.669277917472778,0.018173489195594868,,
10,14,256.9435401213235,mid,,,5.905815561911829,0.02298487659632627
11,13,238.93789599834685,mid,5.823935560047779,0.024374264851181555,,
11,13,238.95665370876443,mid,,,5.751298258847903,0.024068374617672167
12,12,221.482246194385,mid,4.985853846853896,0.022511302519832837,,
12,12,221.5003262140597,mid,,,4.812078961215167,0.02172492945479789
13,11,208.4233540858443,mid,3.372907164051921,0.01618296173596125,,
13,11,208.4475050400764,mid,,,3.443602759200283,0.016520239753112953
14,10,185.3806419053412,mid,2.2201038294963573,0.011975920498915866,,
14,10,185.42056978037976,mid,,,2.30036479634255,0.012406200666232462
15,9,171.3619887958768,mid,1.1109502103480076,0.006483060906064475,,
15,9,171.38313124545132,mid,,,0.904135401736982,0.0052755215473458605
16,8,152.84969461541718,mid,1.413154511092369,0.009245386552115696,,
16,8,152.8533650991397,mid,,,0.8147890446473298,0.005330527359465478
17,7,137.24939882027596,proximal,,,0.7176529038244668,0.00522882365965196
17,7,137.27488508705756,proximal,0.9866557078820649,0.0071874451561648985,,
18,6,129.13207338982392,proximal,,,0.9856352302582086,0.007632768563103396
18,6,129.1551219264141,proximal,1.6061928159173282,0.012436152681830565,,
19,5,114.78967088223561,proximal,,,0.7769254671082445,0.006768252414499068
19,5,114.81087294479951,proximal,0.9698549721500253,0.008447413971116887,,
20,4,75.56478006415094,proximal,1.475921204069676,0.019531866602624775,,
20,4,75.56583630904696,proximal,,,0.8533707673937095,0.011293076462538158
21,3,55.94022572582599,proximal,,,0.6348346322357018,0.011348446024282253
21,3,55.94534929198389,proximal,0.9769272377891622,0.01746217067464339,,
22,2,33.31796011777988,proximal,1.5423960138426431,0.046293230689701044,,
22,2,33.33235535194282,proximal,,,0.9042668440200523,0.027128801264485074
23,1,13.81510430618743,proximal,2.0937364688771187,0.15155415568881286,,
23,1,13.820121924908689,proximal,,,1.0285110943686377,0.0744212750044485
24,0,0.0,proximal,0.0,,0.0,
